file,key,type,attr
src\components\AI\AIAlerts.tsx,"mousedown",StringLiteral,
src\components\AI\AIAlerts.tsx,"relative",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"relative",StringLiteral,
src\features\auth\pages\LoginPage.tsx,"relative",JSXAttribute,className
src\features\auth\pages\LoginPage.tsx,"relative",StringLiteral,
src\features\auth\pages\LoginPage.tsx,"relative",JSXAttribute,className
src\features\auth\pages\LoginPage.tsx,"relative",StringLiteral,
src\features\hr\pages\ActivityLogsPage.tsx,"relative",JSXAttribute,className
src\features\hr\pages\ActivityLogsPage.tsx,"relative",StringLiteral,
src\features\pos\pages\PosSessionsPage.tsx,"relative",JSXAttribute,className
src\features\pos\pages\PosSessionsPage.tsx,"relative",StringLiteral,
src\features\pos\pages\PosTerminalPage.tsx,"relative",JSXAttribute,className
src\features\pos\pages\PosTerminalPage.tsx,"relative",StringLiteral,
src\features\sales\pages\SaleOrdersPage.tsx,"relative",JSXAttribute,className
src\features\sales\pages\SaleOrdersPage.tsx,"relative",StringLiteral,
src\features\sales\pages\SaleOrdersPage.tsx,"relative",JSXAttribute,className
src\features\sales\pages\SaleOrdersPage.tsx,"relative",StringLiteral,
src\features\sales\pages\SaleOrdersPage.tsx,"relative",JSXAttribute,className
src\features\sales\pages\SaleOrdersPage.tsx,"relative",StringLiteral,
src\features\settings\pages\AccountSettingsPage.tsx,"relative",JSXAttribute,className
src\features\settings\pages\AccountSettingsPage.tsx,"relative",StringLiteral,
src\features\settings\pages\AccountSettingsPage.tsx,"relative",JSXAttribute,className
src\features\settings\pages\AccountSettingsPage.tsx,"relative",StringLiteral,
src\features\settings\pages\AccountSettingsPage.tsx,"relative",JSXAttribute,className
src\features\settings\pages\AccountSettingsPage.tsx,"relative",StringLiteral,
src\features\system\pages\BannerManagementPage.tsx,"relative",JSXAttribute,className
src\features\system\pages\BannerManagementPage.tsx,"relative",StringLiteral,
src\features\system\pages\BranchManagementPage.tsx,"relative",JSXAttribute,className
src\features\system\pages\BranchManagementPage.tsx,"relative",StringLiteral,
src\features\system\pages\BranchManagementPage.tsx,"relative",JSXAttribute,className
src\features\system\pages\BranchManagementPage.tsx,"relative",StringLiteral,
src\features\system\pages\BranchManagementPage.tsx,"relative",JSXAttribute,className
src\features\system\pages\BranchManagementPage.tsx,"relative",StringLiteral,
src\components\AI\AIAlerts.tsx,"relative flex h-10 w-10 items-center justify-center rounded-full text-gray-500 hover:bg-gray-100 dark:text-gray-400 dark:hover:bg-gray-800 transition-colors",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"relative flex h-10 w-10 items-center justify-center rounded-full text-gray-500 hover:bg-gray-100 dark:text-gray-400 dark:hover:bg-gray-800 transition-colors",StringLiteral,
src\components\AI\AIAlerts.tsx,"h-5 w-5",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"h-5 w-5",StringLiteral,
src\components\AI\AIAssistant.tsx,"h-5 w-5",JSXAttribute,className
src\components\AI\AIAssistant.tsx,"h-5 w-5",StringLiteral,
src\features\dashboard\components\AIInsightsWidget.tsx,"h-5 w-5",JSXAttribute,className
src\features\dashboard\components\AIInsightsWidget.tsx,"h-5 w-5",StringLiteral,
src\layouts\MainLayout.tsx,"h-5 w-5",JSXAttribute,className
src\layouts\MainLayout.tsx,"h-5 w-5",StringLiteral,
src\components\AI\AIAlerts.tsx,"absolute right-1 top-1 flex h-4 w-4 items-center justify-center rounded-full bg-red-500 text-[10px] font-bold text-white ring-2 ring-white dark:ring-gray-900",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"absolute right-1 top-1 flex h-4 w-4 items-center justify-center rounded-full bg-red-500 text-[10px] font-bold text-white ring-2 ring-white dark:ring-gray-900",StringLiteral,
src\components\AI\AIAlerts.tsx,"absolute right-0 mt-2 w-[380px] origin-top-right overflow-hidden rounded-xl border border-gray-200 bg-white shadow-2xl dark:border-gray-800 dark:bg-gray-900 z-50",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"absolute right-0 mt-2 w-[380px] origin-top-right overflow-hidden rounded-xl border border-gray-200 bg-white shadow-2xl dark:border-gray-800 dark:bg-gray-900 z-50",StringLiteral,
src\components\AI\AIAlerts.tsx,"flex items-center justify-between border-b border-gray-100 bg-gray-50/50 px-4 py-3 dark:border-gray-800 dark:bg-gray-900/50",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"flex items-center justify-between border-b border-gray-100 bg-gray-50/50 px-4 py-3 dark:border-gray-800 dark:bg-gray-900/50",StringLiteral,
src\components\AI\AIAlerts.tsx,"font-semibold text-gray-800 dark:text-gray-100 flex items-center gap-2",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"font-semibold text-gray-800 dark:text-gray-100 flex items-center gap-2",StringLiteral,
src\components\AI\AIAlerts.tsx,"w-4 h-4 text-indigo-500",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"w-4 h-4 text-indigo-500",StringLiteral,
src\components\AI\AIAlerts.tsx,"AI Smart Alerts",JSXText,
src\components\AI\AIAlerts.tsx,"text-xs font-medium text-indigo-600 hover:text-indigo-700 dark:text-indigo-400",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"text-xs font-medium text-indigo-600 hover:text-indigo-700 dark:text-indigo-400",StringLiteral,
src\components\AI\AIAlerts.tsx,"Đánh dấu đã đọc",JSXText,
src\components\AI\AIAlerts.tsx,"max-h-[400px] overflow-y-auto",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"max-h-[400px] overflow-y-auto",StringLiteral,
src\components\AI\AIAlerts.tsx,"flex gap-4 border-b border-gray-50 p-4 transition-colors hover:bg-gray-50 dark:border-gray-800/50 dark:hover:bg-gray-800/50 cursor-pointer",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"flex gap-4 border-b border-gray-50 p-4 transition-colors hover:bg-gray-50 dark:border-gray-800/50 dark:hover:bg-gray-800/50 cursor-pointer",StringLiteral,
src\components\AI\AIAlerts.tsx,"mt-1 flex h-8 w-8 shrink-0 items-center justify-center rounded-full",StringLiteral,
src\components\AI\AIAlerts.tsx,"bg-red-100 text-red-600 dark:bg-red-900/30 dark:text-red-400",StringLiteral,
src\components\AI\AIAlerts.tsx,"bg-amber-100 text-amber-600 dark:bg-amber-900/30 dark:text-amber-400",StringLiteral,
src\components\AI\AIAlerts.tsx,"bg-emerald-100 text-emerald-600 dark:bg-emerald-900/30 dark:text-emerald-400",StringLiteral,
src\components\AI\AIAlerts.tsx,"bg-blue-100 text-blue-600 dark:bg-blue-900/30 dark:text-blue-400",StringLiteral,
src\components\AI\AIAlerts.tsx,"h-4 w-4",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"h-4 w-4",StringLiteral,
src\components\AI\AIAssistant.tsx,"h-4 w-4",JSXAttribute,className
src\components\AI\AIAssistant.tsx,"h-4 w-4",StringLiteral,
src\features\auth\pages\LoginPage.tsx,"h-4 w-4",JSXAttribute,className
src\features\auth\pages\LoginPage.tsx,"h-4 w-4",StringLiteral,
src\features\auth\pages\LoginPage.tsx,"h-4 w-4",JSXAttribute,className
src\features\auth\pages\LoginPage.tsx,"h-4 w-4",StringLiteral,
src\features\finance\pages\JournalEntriesPage.tsx,"h-4 w-4",JSXAttribute,className
src\features\finance\pages\JournalEntriesPage.tsx,"h-4 w-4",StringLiteral,
src\features\finance\pages\JournalEntriesPage.tsx,"h-4 w-4",JSXAttribute,className
src\features\finance\pages\JournalEntriesPage.tsx,"h-4 w-4",StringLiteral,
src\features\finance\pages\JournalEntriesPage.tsx,"h-4 w-4",JSXAttribute,className
src\features\finance\pages\JournalEntriesPage.tsx,"h-4 w-4",StringLiteral,
src\features\finance\pages\JournalEntriesPage.tsx,"h-4 w-4",JSXAttribute,className
src\features\finance\pages\JournalEntriesPage.tsx,"h-4 w-4",StringLiteral,
src\shared\components\data-table\ReusableDataTable.tsx,"h-4 w-4",JSXAttribute,className
src\shared\components\data-table\ReusableDataTable.tsx,"h-4 w-4",StringLiteral,
src\shared\components\data-table\ReusableDataTable.tsx,"h-4 w-4",JSXAttribute,className
src\shared\components\data-table\ReusableDataTable.tsx,"h-4 w-4",StringLiteral,
src\shared\components\data-table\ReusableDataTable.tsx,"h-4 w-4",JSXAttribute,className
src\shared\components\data-table\ReusableDataTable.tsx,"h-4 w-4",StringLiteral,
src\shared\components\data-table\ReusableDataTable.tsx,"h-4 w-4",JSXAttribute,className
src\shared\components\data-table\ReusableDataTable.tsx,"h-4 w-4",StringLiteral,
src\components\AI\AIAlerts.tsx,"flex flex-col gap-1",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"flex flex-col gap-1",StringLiteral,
src\features\inventory\pages\InventoryPage.tsx,"flex flex-col gap-1",JSXAttribute,className
src\features\inventory\pages\InventoryPage.tsx,"flex flex-col gap-1",StringLiteral,
src\components\AI\AIAlerts.tsx,"flex items-start justify-between gap-2",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"flex items-start justify-between gap-2",StringLiteral,
src\features\crm\pages\CustomersPage.tsx,"flex items-start justify-between gap-2",JSXAttribute,className
src\features\crm\pages\CustomersPage.tsx,"flex items-start justify-between gap-2",StringLiteral,
src\components\AI\AIAlerts.tsx,"text-sm font-medium text-gray-800 dark:text-gray-200 line-clamp-1",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"text-sm font-medium text-gray-800 dark:text-gray-200 line-clamp-1",StringLiteral,
src\components\AI\AIAlerts.tsx,"shrink-0 text-xs text-gray-400",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"shrink-0 text-xs text-gray-400",StringLiteral,
src\components\AI\AIAlerts.tsx,"text-xs text-gray-500 dark:text-gray-400 line-clamp-2",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"text-xs text-gray-500 dark:text-gray-400 line-clamp-2",StringLiteral,
src\components\AI\AIAlerts.tsx,"border-t border-gray-100 p-2 dark:border-gray-800 text-center bg-gray-50 dark:bg-gray-900",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"border-t border-gray-100 p-2 dark:border-gray-800 text-center bg-gray-50 dark:bg-gray-900",StringLiteral,
src\components\AI\AIAlerts.tsx,"text-xs font-medium text-gray-500 hover:text-gray-700 dark:text-gray-400 dark:hover:text-gray-200",JSXAttribute,className
src\components\AI\AIAlerts.tsx,"text-xs font-medium text-gray-500 hover:text-gray-700 dark:text-gray-400 dark:hover:text-gray-200",StringLiteral,
src\components\AI\AIAlerts.tsx,"Xem tất cả thông báo",JSXText,
src\components\AI\AIAlerts.tsx,"http://www.w3.org/2000/svg",JSXAttribute,xmlns
src\components\AI\AIAlerts.tsx,"0 0 24 24",JSXAttribute,viewBox
src\components\AI\AIAlerts.tsx,"0 0 24 24",StringLiteral,
src\components\AI\AIAlerts.tsx,"none",JSXAttribute,fill
src\features\auth\pages\LoginPage.tsx,"none",JSXAttribute,fill
src\features\dashboard\pages\DashboardPage.tsx,"none",JSXAttribute,stroke
src\features\reports\pages\CrmReportPage.tsx,"none",JSXAttribute,stroke
src\features\reports\pages\InventoryReportPage.tsx,"none",JSXAttribute,stroke
src\components\AI\AIAlerts.tsx,"currentColor",JSXAttribute,stroke
src\components\AI\AIAlerts.tsx,"currentColor",StringLiteral,
src\features\auth\pages\LoginPage.tsx,"currentColor",JSXAttribute,fill
src\features\auth\pages\LoginPage.tsx,"currentColor",StringLiteral,
src\components\AI\AIAlerts.tsx,"round",JSXAttribute,strokeLinecap
src\components\AI\AIAlerts.tsx,"round",JSXAttribute,strokeLinejoin
src\features\auth\pages\LoginPage.tsx,"round",JSXAttribute,strokeLinecap
src\features\auth\pages\LoginPage.tsx,"round",JSXAttribute,strokeLinejoin
src\components\AI\AIAlerts.tsx,"m12 3-1.912 5.813a2 2 0 0 1-1.275 1.275L3 12l5.813 1.912a2 2 0 0 1 1.275 1.275L12 21l1.912-5.813a2 2 0 0 1 1.275-1.275L21 12l-5.813-1.912a2 2 0 0 1-1.275-1.275L12 3Z",JSXAttribute,d
src\components\AI\AIAlerts.tsx,"m12 3-1.912 5.813a2 2 0 0 1-1.275 1.275L3 12l5.813 1.912a2 2 0 0 1 1.275 1.275L12 21l1.912-5.813a2 2 0 0 1 1.275-1.275L21 12l-5.813-1.912a2 2 0 0 1-1.275-1.275L12 3Z",StringLiteral,
src\components\AI\AIAlerts.tsx,"M5 3v4",JSXAttribute,d
src\components\AI\AIAlerts.tsx,"M5 3v4",StringLiteral,
src\components\AI\AIAlerts.tsx,"M19 17v4",JSXAttribute,d
src\components\AI\AIAlerts.tsx,"M19 17v4",StringLiteral,
src\components\AI\AIAlerts.tsx,"M3 5h4",JSXAttribute,d
src\components\AI\AIAlerts.tsx,"M3 5h4",StringLiteral,
src\components\AI\AIAlerts.tsx,"M17 19h4",JSXAttribute,d
src\components\AI\AIAlerts.tsx,"M17 19h4",StringLiteral,
src\components\AI\AIAssistant.tsx,"assistant",StringLiteral,
src\components\AI\AIAssistant.tsx,"assistant",StringLiteral,
src\components\AI\AIAssistant.tsx,"Chào sếp! Hôm nay tôi đã phân tích dữ liệu bán hàng mới nhất. Sếp có muốn xem báo cáo tồn kho hay sản phẩm bán chạy không?",StringLiteral,
src\components\AI\AIAssistant.tsx,"2-digit",StringLiteral,
src\components\AI\AIAssistant.tsx,"2-digit",StringLiteral,
src\components\AI\AIAssistant.tsx,"2-digit",StringLiteral,
src\components\AI\AIAssistant.tsx,"2-digit",StringLiteral,
src\components\AI\AIAssistant.tsx,"2-digit",StringLiteral,
src\components\AI\AIAssistant.tsx,"2-digit",StringLiteral,
src\components\AI\AIAssistant.tsx,"smooth",StringLiteral,
src\components\AI\AIAssistant.tsx,"tồn kho",StringLiteral,
src\components\AI\AIAssistant.tsx,"doanh thu",StringLiteral,
src\components\AI\AIAssistant.tsx,"bán chạy",StringLiteral,
src\components\AI\AIAssistant.tsx,"Doanh thu hôm nay đạt 125.000.000 VNĐ, tăng 15% so với hôm qua. Sản phẩm bán chạy nhất là ""Sữa tươi Vinamilk"" (bán được 300 lốc).",StringLiteral,
src\components\AI\AIAssistant.tsx,"Tôi đã ghi nhận yêu cầu của sếp. Hệ thống đang phân tích dữ liệu từ Google Sheets để đưa ra câu trả lời chính xác nhất...",StringLiteral,
src\components\AI\AIAssistant.tsx,"fixed bottom-6 right-6 z-50 flex h-14 w-14 items-center justify-center rounded-full bg-indigo-600 text-white shadow-lg shadow-indigo-600/30 transition-transform hover:scale-110 active:scale-95",JSXAttribute,className
src\components\AI\AIAssistant.tsx,"fixed bottom-6 right-6 z-50 flex h-14 w-14 items-center justify-center rounded-full bg-indigo-600 text-white shadow-lg shadow-indigo-600/30 transition-transform hover:scale-110 active:scale-95",StringLiteral,
src\components\AI\AIAssistant.tsx,"h-6 w-6 animate-pulse",JSXAttribute,className
src\components\AI\AIAssistant.tsx,"h-6 w-6 animate-pulse",StringLiteral,
src\components\AI\AIAssistant.tsx,"absolute -top-1 -right-1 flex h-4 w-4",JSXAttribute,className
src\components\AI\AIAssistant.tsx,"absolute -top-1 -right-1 flex h-4 w-4",StringLiteral,
src\components\AI\AIAssistant.tsx,"absolute inline-flex h-full w-full animate-ping rounded-full bg-red-400 opacity-75",JSXAttribute,className
src\components\AI\AIAssistant.tsx,"absolute inline-flex h-full w-full animate-ping rounded-full bg-red-400 opacity-75",StringLiteral,
src\components\AI\AIAssistant.tsx,"relative inline-flex h-4 w-4 rounded-full bg-red-500",JSXAttribute,className
src\components\AI\AIAssistant.tsx,"relative inline-flex h-4 w-4 rounded-full bg-red-500",StringLiteral,
src\components\AI\AIAssistant.tsx,"fixed bottom-6 right-6 z-50 flex h-[600px] w-[400px] max-w-[calc(100vw-2rem)] flex-col overflow-hidden rounded-2xl border border-gray-200 bg-white shadow-2xl dark:border-gray-800 dark:bg-gray-900",JSXAttribute,className
src\components\AI\AIAssistant.tsx,"fixed bottom-6 right-6 z-50 flex h-[600px] w-[400px] max-w-[calc(100vw-2rem)] flex-col overflow-hidden rounded-2xl border border-gray-200 bg-white shadow-2xl dark:border-gray-800 dark:bg-gray-900",StringLiteral,
src\components\AI\AIAssistant.tsx,"flex items-center justify-between bg-gradient-to-r from-indigo-600 to-violet-600 px-4 py-4 text-white",JSXAttribute,className
src\components\AI\AIAssistant.tsx,"flex items-center justify-between bg-gradient-to-r from-indigo-600 to-violet-600 px-4 py-4 text-white",StringLiteral,
src\components\AI\AIAssistant.tsx,"flex items-center gap-3",JSXAttribute,className
src\components\AI\AIAssistant.tsx,"flex items-center gap-3",StringLiteral,
src\features\crm\pages\CustomersPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\crm\pages\CustomersPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\crm\pages\CustomersPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\crm\pages\CustomersPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\crm\pages\CustomersPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\crm\pages\CustomersPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\crm\pages\CustomersPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\crm\pages\CustomersPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\crm\pages\FeedbackPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\crm\pages\FeedbackPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\crm\pages\FeedbackPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\crm\pages\FeedbackPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\crm\pages\LoyaltyTiersPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\crm\pages\LoyaltyTiersPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\crm\pages\LoyaltyTiersPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\crm\pages\LoyaltyTiersPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\crm\pages\SupportTicketsPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\crm\pages\SupportTicketsPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\crm\pages\SupportTicketsPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\crm\pages\SupportTicketsPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\crm\pages\VouchersPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\crm\pages\VouchersPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\crm\pages\VouchersPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\crm\pages\VouchersPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\finance\pages\BankAccountsPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\finance\pages\BankAccountsPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\finance\pages\BankAccountsPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\finance\pages\BankAccountsPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\finance\pages\DebtLedgerPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\finance\pages\DebtLedgerPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\finance\pages\DebtLedgerPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\finance\pages\DebtLedgerPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\finance\pages\OperatingCostsPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\finance\pages\OperatingCostsPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\finance\pages\OperatingCostsPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\finance\pages\OperatingCostsPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\finance\pages\PaymentVouchersPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\finance\pages\PaymentVouchersPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\finance\pages\PaymentVouchersPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\finance\pages\PaymentVouchersPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\finance\pages\ReceiptVouchersPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\finance\pages\ReceiptVouchersPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\finance\pages\ReceiptVouchersPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\finance\pages\ReceiptVouchersPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\finance\pages\TransactionReasonsPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\finance\pages\TransactionReasonsPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\finance\pages\TransactionReasonsPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\finance\pages\TransactionReasonsPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\hr\pages\DepartmentsPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\hr\pages\DepartmentsPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\hr\pages\DepartmentsPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\hr\pages\DepartmentsPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\hr\pages\PositionsPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\hr\pages\PositionsPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\hr\pages\PositionsPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\hr\pages\PositionsPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\hr\pages\RolesPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\hr\pages\RolesPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\hr\pages\UsersPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\hr\pages\UsersPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\hr\pages\UsersPage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\hr\pages\UsersPage.tsx,"flex items-center gap-3",StringLiteral,
src\features\inventory\pages\CancelIssuePage.tsx,"flex items-center gap-3",JSXAttribute,className
src\features\inventory\pages\CancelIssuePage.tsx,"flex items-center gap-3",StringLiteral,
